Company,Name,Asset Tag,Category,Supplier,Manufacturer,Location,Order Number,Model,Model Notes,Model Number,Asset Notes,Purchase Date,Purchase Cost,Checkout Type,Checked Out To: Username,Checked Out To: First Name,Checked Out To: Last Name,Checked Out To: Email,Checked Out To: Location,Asset EOL Date
,John Deere 6135B Tractor,KMF-TR-001,Machinery - Tractors,,John Deere,Tractor Shed,KMF-PO-24001,John Deere 6135B,,6135B,North block tractor; hours meter 2480; annual service due in October,2/15/24,1850000,,,,,,,2/15/34
,Massey Ferguson 5711 Tractor,KMF-TR-002,Machinery - Tractors,,Massey Ferguson,Tractor Shed,KMF-PO-24002,Massey Ferguson 5711,,5711,General-purpose tractor; hours meter 1795,3/3/23,1425000,,,,,,,3/3/33
,New Holland TT4.75 Tractor,KMF-TR-003,Machinery - Tractors,,New Holland,Main Farm Yard,KMF-PO-24003,New Holland TT4.75,,TT4.75,Backup tractor; hours meter 3120,6/21/22,985000,,,,,,,6/21/32
,Kuhn 3m Disc Harrow,KMF-IMP-001,Machinery - Implements,,Kuhn,Tractor Shed,KMF-PO-23041,Kuhn 3m Disc Harrow,,DISC-3000,Used for seedbed preparation; shared across north and south camps,5/11/23,210000,,,,,,,5/11/31
,Kuhn 4-Row Planter,KMF-IMP-002,Machinery - Implements,,Kuhn,Tractor Shed,KMF-PO-24011,Kuhn 4-Row Planter,,PLANT-4R,Maize planting implement; calibration kit stored in workshop,8/8/24,465000,,,,,,,8/8/32
,Jacto 600L Boom Sprayer,KMF-IMP-003,Machinery - Implements,,Jacto,Workshop,KMF-PO-24018,Jacto 600L Boom Sprayer,,600L-BOOM,Chemical application equipment; inspected before each use,9/12/24,185000,,,,,,,9/12/31
,Ocmis R18 Irrigator,KMF-IMP-004,Machinery - Implements,,Ocmis,Irrigation Dam,KMF-PO-22007,Ocmis R18 Irrigator,,R18,Travelling reel assigned to east irrigation block,10/4/22,325000,,,,,,,10/4/30
,Claas Rollant Baler,KMF-IMP-005,Machinery - Implements,,Claas,Main Farm Yard,KMF-PO-23066,Claas Rollant Baler,,ROLLANT-455,Round baler; winter service completed,4/18/23,690000,,,,,,,4/18/33
,Toyota Hilux 2.4 GD-6,KMF-VEH-001,Vehicles - Farm,,Toyota,Main Farm Yard,KMF-PO-21012,Toyota Hilux 2.4 GD-6,,2.4-GD6,Farm manager vehicle; service book held in Admin Office,1/22/21,645000,,,,,,,1/22/29
,Isuzu D-Max 3.0,KMF-VEH-002,Vehicles - Farm,,Isuzu,Main Farm Yard,KMF-PO-22019,Isuzu D-Max 3.0,,3.0-DMAX,Workshop and livestock transport vehicle,7/7/22,585000,,,,,,,7/7/30
,Polaris Ranger 1000,KMF-VEH-003,Vehicles - Farm,,Polaris,North Camps,KMF-PO-24029,Polaris Ranger 1000,,RANGER-1000,Used by livestock team for camp inspections,2/29/24,420000,,,,,,,2/28/30
,Honda 7kVA Diesel Generator,KMF-PWR-001,Workshop and Power,,Honda,Workshop,KMF-PO-22041,Honda 7kVA Diesel Generator,,EG7000,Emergency power for workshop and pump controls,8/19/22,88000,,,,,,,8/19/29
,Grundfos SQFlex Borehole Pump,KMF-WTR-001,Irrigation and Water,,Grundfos,Borehole 1,KMF-PO-23009,Grundfos SQFlex Borehole Pump,,SQFLEX-11,Primary borehole pump; inspect solar controller monthly,2/6/23,125000,,,,,,,2/6/31
,Fronius TransSteel 3500,KMF-PWR-002,Workshop and Power,,Fronius,Workshop,KMF-PO-23023,Fronius TransSteel 3500,,TRANSSTEEL-3500,Workshop welder; leads and face shield stored with unit,6/15/23,76000,,,,,,,6/15/30
,Gallagher TWR-5 Electric Fence Energizer,KMF-INF-001,Farm Infrastructure,,Gallagher,South Camps,KMF-PO-24031,Gallagher TWR-5 Electric Fence Energizer,,TWR-5,South boundary fence energizer; lightning arrestor fitted,3/18/24,16500,,,,,,,3/18/30
,Tru-Test XR5000 Livestock Scale,KMF-LIV-001,Livestock Equipment,,Tru-Test,Cattle Handling Kraal,KMF-PO-23038,Tru-Test XR5000 Livestock Scale,,XR5000,Portable scale used for cattle weight and treatment records,11/2/23,58000,,,,,,,11/2/29
,Priefert Cattle Handling Crush,KMF-LIV-002,Livestock Equipment,,Priefert,Cattle Handling Kraal,KMF-PO-21044,Priefert Cattle Handling Crush,,PRIEFERT-CRUSH,Fixed cattle handling point; inspect gates before use,9/9/21,115000,,,,,,,9/9/31
,Bonsmara Breeding Cow - A001,KMF-COW-001,Livestock - Cattle,,Klipfontein Farm Genetics,North Camps,KMF-HERD-001,Bonsmara Breeding Cow,,BR-COW,Visual herd ID A001; adult breeding cow; records held by livestock manager,6/5/22,24000,,,,,,,
,Bonsmara Breeding Cow - A014,KMF-COW-014,Livestock - Cattle,,Klipfontein Farm Genetics,North Camps,KMF-HERD-014,Bonsmara Breeding Cow,,BR-COW,Visual herd ID A014; adult breeding cow; records held by livestock manager,8/17/23,28500,,,,,,,
,Bonsmara Breeding Bull - B003,KMF-BULL-003,Livestock - Cattle,,Klipfontein Farm Genetics,North Camps,KMF-HERD-003,Bonsmara Breeding Bull,,BR-BULL,Visual herd ID B003; breeding bull; veterinary records held by livestock manager,7/1/22,65000,,,,,,,
,Merino Ewe - E027,KMF-EWE-027,Livestock - Sheep,,Klipfontein Farm Genetics,Sheep Camp,KMF-FLOCK-027,Merino Ewe,,MER-EWE,Visual flock ID E027; breeding ewe; wool and treatment records held by livestock manager,5/10/23,3200,,,,,,,
,Dorper Ram - R004,KMF-RAM-004,Livestock - Sheep,,Klipfontein Farm Genetics,Sheep Camp,KMF-FLOCK-004,Dorper Ram,,DOR-RAM,Visual flock ID R004; breeding ram; treatment records held by livestock manager,6/2/23,9500,,,,,,,
,SiloKing 20T Grain Hopper,KMF-STO-001,Storage and Handling,,SiloKing,Grain Store,KMF-PO-24044,SiloKing 20T Grain Hopper,,20T-HOPPER,Mobile grain hopper for harvest logistics,5/20/24,310000,,,,,,,5/20/34
,Klipfontein 5000L Water Tank,KMF-WTR-002,Irrigation and Water,,Klipfontein Fabrication,Irrigation Dam,KMF-PO-22052,Klipfontein 5000L Water Tank,,5000L-TANK,Reserve water tank on fabricated stand; level gauge fitted,10/10/22,42000,,,,,,,10/10/34
